"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"18071","Jackson County, IN",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"18081","Johnson County, IN",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"18083","Knox County, IN",".",".",".",".","0.07","0.066",".",".",".",".",".",".",".","."
"18089","Lake County, IN","3.5","1.4","44","10","0.09","0.07","36","9","1","23","9.4","82","22","0.02"
"18091","LaPorte County, IN",".",".",".",".","0.09","0.077",".",".",".","20","7.4",".",".","."
"18095","Madison County, IN",".",".",".",".","0.07","0.068",".",".",".","20","8.7",".",".","."
"18097","Marion County, IN","3.8","2.9","39","13","0.08","0.069","6","3","0","24","10.5","54","24","0.02"
"18105","Monroe County, IN",".",".",".",".",".",".",".",".",".","15","7.5",".",".","."
"18109","Morgan County, IN",".",".",".",".","0.07","0.058","47","20","1",".",".",".",".","."
"18123","Perry County, IN",".",".",".",".","0.08","0.066",".",".",".",".",".",".",".","."
"18125","Pike County, IN",".",".",".",".",".",".","24","4","1",".",".",".",".","."
